Series,Place,Date,Time
INDIA WOMEN TOUR OF BANGLADESH T20 SERIES 2024,"Sylhet International Cricket Stadium, Sylhet","2 MAY, 2024",3:30 PM IST
INDIA WOMEN TOUR OF BANGLADESH T20 SERIES 2024,"Sylhet International Cricket Stadium, Sylhet","6 MAY, 2024",3:30 PM IST
INDIA WOMEN TOUR OF BANGLADESH T20 SERIES 2024,"Sylhet International Cricket Stadium, Sylhet","9 MAY, 2024",3:30 PM IST
ICC MENS T20 WORLD CUP 2024,"Nassau County International Cricket Stadium, New York","5 JUNE, 2024",8:00 PM IST
ICC MENS T20 WORLD CUP 2024,"Nassau County International Cricket Stadium, New York","9 JUNE, 2024",8:00 PM IST
ICC MENS T20 WORLD CUP 2024,"Nassau County International Cricket Stadium, New York","12 JUNE, 2024",8:00 PM IST
ICC MENS T20 WORLD CUP 2024,"Central Broward Park & Broward County Stadium, Lauderhill, Florida","15 JUNE, 2024",8:00 PM IST
INDIA TOUR OF ZIMBABWE 2024,"Harare Sports Club, Harare","6 JULY, 2024",8:00 PM IST
INDIA TOUR OF ZIMBABWE 2024,"Harare Sports Club, Harare","7 JULY, 2024",8:00 PM IST
INDIA TOUR OF ZIMBABWE 2024,"Harare Sports Club, Harare","10 JULY, 2024",8:00 PM IST
INDIA TOUR OF ZIMBABWE 2024,"Harare Sports Club, Harare","13 JULY, 2024",8:00 PM IST
INDIA TOUR OF ZIMBABWE 2024,"Harare Sports Club, Harare","14 JULY, 2024",8:00 PM IST
