Rank,State,GSDP(23-24)-at current prices,GSDP(22-23)-at current prices,GSDP(21-22)-at current prices,Share(21-22),GDP($ billion)
1,Maharashtra,-,-,"3,108,022",13.17%,414.928
2,Tamil Nadu,"2,700,109","2,364,514","2,071,286",8.78%,276.522
3,Karnataka,"2,500,733","2,269,995","1,978,094",8.38%,264.080
4,Uttar Pradesh,"2,547,861","2,258,040","1,975,595",8.37%,263.747
5,Gujarat,-,"2,230,609","1,928,683",8.17%,257.484
6,West Bengal,"1,700,939","1,531,758","1,329,238",5.63%,177.456
7,Rajasthan,"1,524,030","1,365,849","1,193,489",5.06%,159.334
8,Andhra Pradesh,"1,439,674","1,303,524","1,148,471",4.87%,153.324
9,Telangana,"1,463,960","1,308,034","1,124,204",4.76%,150.084
10,Madhya Pradesh,"1,363,327","1,246,471","1,092,964",4.63%,145.913
11,Kerala,-,"1,046,188","934,542",3.96%,124.764
12,Delhi,"1,107,746","1,014,688","881,336",3.73%,117.660
13,Haryana,"1,095,535","984,055","868,905",3.68%,116.001
14,Odisha,"832,790","753,177","662,886",2.81%,88.497
15,Bihar,-,"751,396","650,302",2.76%,86.817
16,Punjab,"736,423","676,164","617,192",2.62%,82.397
17,Assam,"565,401","493,167","411,454",1.74%,54.930
18,Chhattisgarh,"505,887","464,399","410,525",1.74%,54.806
19,Jharkhand,-,"393,722","358,863",1.52%,47.909
20,Uttarakhand,"346,206","303,781","267,143",1.13%,35.664
21,Jammu & Kashmir,"246,465","224,226","193,352",0.82%,25.813
22,Himachal Pradesh,"207,430","191,728","172,162",0.73%,22.984
23,Goa,-,"93,672","84,266",0.36%,11.250
24,Tripura,-,"72,636","62,550",0.27%,8.351
25,Chandigarh,-,"54,285","46,096",0.20%,6.154
26,Puducherry,-,"49,643","43,810",0.19%,5.849
27,Meghalaya,"47,381","42,697","38,785",0.16%,5.178
28,Sikkim,-,"42,756","37,557",0.16%,5.014
29,Manipur,-,-,"36,594",0.16%,4.885
30,Arunachal Pradesh,-,"39,630","34,775",0.15%,4.643
31,Nagaland,-,"35,643","31,038",0.13%,4.144
32,Mizoram,-,-,"27,824",0.12%,3.715
33,Andaman & Nicobar Islands,-,-,"10,371",0.04%,1.385
