Name,Artist,Upload Date,Views
Baby Shark Dance,Pinkfong Baby Shark - Kids' Songs & Stories,"June 17, 2016",14.32 Billion
Despacito,Luis Fonsi,"January 12, 2017",8.41 Billion
Johny Johny Yes Papa,LooLoo Kids - Nursery Rhymes and Children's Songs,"October 8, 2016",6.89 Billion
Bath Song,Cocomelon - Nursery Rhymes,"May 2, 2018",6.66 Billion
Shape of You,Ed Sheeran,"January 30, 2017",6.23 Billion
See You Again,Wiz Khalifa,"April 6, 2015",6.22 Billion
Wheels on the Bus,Cocomelon - Nursery Rhymes,"May 24, 2018",6.01 Billion
Phonics Song with Two Words,ChuChu TV Nursery Rhymes & Kids Songs,"March 6, 2014",5.75 Billion
Uptown Funk,Mark Ronson,"November 19, 2014",5.18 Billion
Gangnam Style,Psy,"July 15, 2012",5.10 Billion
Learning Colors – Colorful Eggs on a Farm,Miroshka TV,"February 27, 2018",5.09 Billion
Dame Tu Cosita,Ultra Records,"April 5, 2018",4.59 Billion
Masha and the Bear – Recipe for Disaster,Get Movies,"January 31, 2012",4.57 Billion
Axel F,Crazy Frog,"June 16, 2009",4.45 Billion
Sugar,Maroon 5,"January 14, 2015",4.02 Billion
Baa Baa Black Sheep,Cocomelon - Nursery Rhymes,"June 25, 2018",4.01 Billion
Counting Stars,OneRepublic,"May 31, 2013",4.00 Billion
Lakdi Ki Kathi,Jingle Toons,"June 14, 2018",3.98 Billion
Roar,Katy Perry,"September 5, 2013",3.98 Billion
Waka Waka (This Time for Africa),Shakira,"June 4, 2010",3.89 Billion
Sorry,Justin Bieber,"October 22, 2015",3.78 Billion
Shree Hanuman Chalisa,T-Series Bhakti Sagar,"May 10, 2011",3.77 Billion
Humpty the train on a fruits ride,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,"January 26, 2018",3.76 Billion
Thinking Out Loud,Ed Sheeran,"October 7, 2014",3.75 Billion
Perfect,Ed Sheeran,"November 9, 2017",3.70 Billion
Dark Horse,Katy Perry,"February 20, 2014",3.70 Billion
Let Her Go,Passenger,"July 25, 2012",3.64 Billion
Faded,Alan Walker,"December 3, 2015",3.60 Billion
Girls Like You,Maroon 5,"May 31, 2018",3.58 Billion
Lean On,Major Lazer Official,"March 22, 2015",3.57 Billion
